value	lng_en	lng_ua	lng_de	lng_sv	lng_tr	lng_nl	lng_da
"txt_data_report"	"Data Report"	"Звіт про дані"	"Datenbericht"	"Rapport om data"	"Veri Raporu"	"Gegevensrapport"	"Rapport om data"
"txt_data_as_of"	"Data as of"	"Дані станом на"	"Daten ab"	"Data från och med"	"Şu andaki veriler"	"Gegevens vanaf"	"Data fra og med"
"txt_built_with"	"Built with"	"Побудовано за допомогою"	"Erstellt mit"	"Byggd med"	"İle inşa edilmiştir"	"Opgebouwd met"	"Bygget med"
"txt_open_report"	"Open report in browser"	"Відкрити звіт у браузері"	"Bericht im Browser öffnen"	"Öppna rapporten i webbläsaren"	"Raporu tarayıcıda açma"	"Open rapport in browser"	"Åbn rapport i browser"
"txt_no_observations"	"No observations"	"Немає спостережень"	"Keine Beobachtungen"	"Inga observationer"	"Gözlem yok"	"Geen waarnemingen"	"Ingen observationer"
"txt_value"	"Value"	"Значення"	"Wert"	"Värde"	"Değer"	"Waarde"	"Værdi"
"txt_percent"	"Percent"	"Відсоток"	"Prozentsatz"	"Procent"	"Yüzde"	"Percentage"	"Procent"
"txt_responses"	"Responses"	"Відповіді"	"Antworten"	"Svar"	"Yanıtlar"	"Reacties"	"Svar"
"txt_total"	"Total"	"Всього"	"Insgesamt"	"Totalt"	"Toplam"	"Totaal"	"I alt"
"txt_descriptive_statistics"	"Descriptive statistics"	"Описова статистика"	"Deskriptive Statistik"	"Beskrivande statistik"	"Tanımlayıcı istatistikler"	"Beschrijvende statistiek"	"Beskrivende statistik"
"txt_statistic"	"Statistic"	"Статистичні дані"	"Statistik"	"Statistik"	"İstatistik"	"Statistiek"	"Statistik"
"txt_n"	"N"	"N"	"N"	"N"	"N"	"N"	"N"
"txt_mean"	"Mean"	"Середнє значення"	"Mittelwert"	"Medelvärde"	"Ortalama"	"Gemiddelde"	"Gennemsnit"
"txt_minimum"	"Minimum"	"Мінімум"	"Minimum"	"Minimum"	"Minimum"	"Minimum"	"Minimum"
"txt_maximum"	"Maximum"	"Максимум"	"Maximum"	"Maximum"	"Maksimum"	"Maximum"	"Maksimum"
"txt_standard_deviation"	"Standard deviation"	"Стандартне відхилення"	"Standardabweichung"	"Standardavvikelse"	"Standart sapma"	"Standaardafwijking"	"Standardafvigelse"
"txt_percentiles"	"Percentiles"	"Процентилі"	"Perzentile"	"Percentiler"	"Yüzdelik Dilimler"	"Percentielen"	"Percentiler"
"txt_total_responses"	"Total responses"	"Загальна кількість відповідей"	"Antworten insgesamt"	"Totalt antal svar"	"Toplam yanıtlar"	"Totaal aantal antwoorden"	"Svar i alt"
"txt_percentile"	"Percentile"	"Процентиль"	"Perzentil"	"Percentil"	"Yüzdelik Dilim"	"Percentiel"	"Percentil"
"txt_table_of_contents"	"Table of contents"	"Зміст"	"Inhaltsverzeichnis"	"Innehållsförteckning"	"İçindekiler"	"Inhoudsopgave"	"Indholdsfortegnelse"
"txt_observation_id"	"Observation ID"	"Ідентифікатор спостереження"	"Beobachtung ID"	"Observations-ID"	"Gözlem Kimliği"	"Waarneming ID"	"Observation ID"
"txt_response"	"Response"	"Відповідь"	"Antwort"	"Svar"	"Yanıt"	"Reactie"	"Svar"
